"Carbonear, Newfoundland and Labrador [1001370]",Carbonear, Newfoundland and Labrador ,1001370
"Corner Brook, Newfoundland and Labrador [1005018]",Corner Brook, Newfoundland and Labrador ,1005018
"Gander, Newfoundland and Labrador [1006009]",Gander, Newfoundland and Labrador ,1006009
"Goose Bay, Newfoundland and Labrador",Goose Bay,#VALUE!,#VALUE!
"Happy Valley - Goose Bay, Newfoundland and Labrador [1010025]",Happy Valley - Goose Bay, Newfoundland and Labrador ,1010025
"Hopedale, Newfoundland and Labrador [1011030]",Hopedale, Newfoundland and Labrador ,1011030
"Labrador City, Newfoundland and Labrador [1010032]",Labrador City, Newfoundland and Labrador ,1010032
"Marystown, Newfoundland and Labrador [1002024]",Marystown, Newfoundland and Labrador ,1002024
"Nain, Newfoundland and Labrador [1011035]",Nain, Newfoundland and Labrador ,1011035
"Natuashish, Newfoundland and Labrador [1010801]",Natuashish, Newfoundland and Labrador ,1010801
"Rigolet, Newfoundland and Labrador [1011010]",Rigolet, Newfoundland and Labrador ,1011010
"Sheshatshiu, Newfoundland and Labrador [1010802]",Sheshatshiu, Newfoundland and Labrador ,1010802
"St. John's, Newfoundland and Labrador [1001519]",St. John's, Newfoundland and Labrador ,1001519
"Charlottetown, Prince Edward Island [1102075]",Charlottetown, Prince Edward Island ,1102075
"Lennox Island, Prince Edward Island [1103035]",Lennox Island, Prince Edward Island ,1103035
"Amherst, Nova Scotia [1211011]",Amherst, Nova Scotia ,1211011
"Antigonish, Nova Scotia [1214002]",Antigonish, Nova Scotia ,1214002
"Bridgewater, Nova Scotia [1206004]",Bridgewater, Nova Scotia ,1206004
"Dartmouth, Nova Scotia",Dartmouth,#VALUE!,#VALUE!
"Glace Bay, Nova Scotia",Glace Bay,#VALUE!,#VALUE!
"Halifax, Nova Scotia [1209034]",Halifax, Nova Scotia ,1209034
"Kentville, Nova Scotia [1207012]",Kentville, Nova Scotia ,1207012
"New Glasgow, Nova Scotia [1212014]",New Glasgow, Nova Scotia ,1212014
"Port Hawkesbury, Nova Scotia [1215002]",Port Hawkesbury, Nova Scotia ,1215002
"Sydney, Nova Scotia",Sydney,#VALUE!,#VALUE!
"Truro, Nova Scotia [1210006]",Truro, Nova Scotia ,1210006
"Waycobah, Nova Scotia",Waycobah,#VALUE!,#VALUE!
"Yarmouth, Nova Scotia [1202004]",Yarmouth, Nova Scotia ,1202004
"Bathurst, New Brunswick [1315008]",Bathurst, New Brunswick ,1315008
"Campbellton, New Brunswick [1314014]",Campbellton, New Brunswick ,1314014
"Edmundston, New Brunswick [1313027]",Edmundston, New Brunswick ,1313027
"Fredericton, New Brunswick [1310032]",Fredericton, New Brunswick ,1310032
"Kent County, New Brunswick",Kent County,#VALUE!,#VALUE!
"Miramichi, New Brunswick [1309050]",Miramichi, New Brunswick ,1309050
"Moncton, New Brunswick [1307019]",Moncton, New Brunswick ,1307019
"Saint John, New Brunswick [1301006]",Saint John, New Brunswick ,1301006
"St. Stephen, New Brunswick [1302037]",St. Stephen, New Brunswick ,1302037
"Sussex, New Brunswick [1305022]",Sussex, New Brunswick ,1305022
"Tracadie-Sheila, New Brunswick [1315003]",Tracadie-Sheila, New Brunswick ,1315003
"Woodstock, New Brunswick [1311004]",Woodstock, New Brunswick ,1311004
"Amos, Quebec [2488055]",Amos, Quebec ,2488055
"Baie-Comeau, Quebec [2496020]",Baie-Comeau, Quebec ,2496020
"Beauceville, Quebec [2427028]",Beauceville, Quebec ,2427028
"Bécancour, Quebec",Bécancour,#VALUE!,#VALUE!
"Cabano, Quebec",Cabano,#VALUE!,#VALUE!
"Cap-Aux-Meules, Quebec",Cap-Aux-Meules,#VALUE!,#VALUE!
"Cap-De-La-Madeleine, Quebec",Cap-De-La-Madeleine,#VALUE!,#VALUE!
"Chambly, Quebec [2457005]",Chambly, Quebec ,2457005
"Chateauguay, Quebec",Chateauguay,#VALUE!,#VALUE!
"Chelsea, Quebec [2482025]",Chelsea, Quebec ,2482025
"Chibougamau, Quebec [2499025]",Chibougamau, Quebec ,2499025
"Cowansville, Quebec [2446080]",Cowansville, Quebec ,2446080
"Dolbeau-Mistassini, Quebec [2492022]",Dolbeau-Mistassini, Quebec ,2492022
"Drummondville, Quebec [2449058]",Drummondville, Quebec ,2449058
"Fermont, Quebec [2497035]",Fermont, Quebec ,2497035
"Forestville, Quebec [2495045]",Forestville, Quebec ,2495045
"Fort Coulonge, Quebec",Fort Coulonge,#VALUE!,#VALUE!
"Gaspe, Quebec",Gaspe,#VALUE!,#VALUE!
"Gatineau, Quebec [2481017]",Gatineau, Quebec ,2481017
"Granby, Quebec [2447017]",Granby, Quebec ,2447017
"Grande-Mère, Quebec",Grande-Mère,#VALUE!,#VALUE!
"Ham Sud, Quebec",Ham Sud,#VALUE!,#VALUE!
"Joliette, Quebec [2461025]",Joliette, Quebec ,2461025
"La Malbaie, Quebec [2415013]",La Malbaie, Quebec ,2415013
"La Pocatière, Quebec [2414085]",La Pocatière, Quebec ,2414085
"La Prairie, Quebec [2467015]",La Prairie, Quebec ,2467015
"La Tuque, Quebec [2490012]",La Tuque, Quebec ,2490012
"Lac Mégantic, Quebec",Lac Mégantic,#VALUE!,#VALUE!
"Lachute, Quebec [2476020]",Lachute, Quebec ,2476020
"Laval, Quebec [2465005]",Laval, Quebec ,2465005
"Lévis, Quebec [2425213]",Lévis, Quebec ,2425213
"L'islet-Sur-Mer, Quebec",L'islet-Sur-Mer,#VALUE!,#VALUE!
"Longueuil, Quebec [2458227]",Longueuil, Quebec ,2458227
"Listuguj, Quebec [2406804]",Listuguj, Quebec ,2406804
"Magog, Quebec [2445072]",Magog, Quebec ,2445072
"Maniwaki, Quebec [2483065]",Maniwaki, Quebec ,2483065
"Maria, Quebec [2406005]",Maria, Quebec ,2406005
"Martinville, Quebec [2444060]",Martinville, Quebec ,2444060
"Mascouche, Quebec [2464015]",Mascouche, Quebec ,2464015
"Matane, Quebec [2408053]",Matane, Quebec ,2408053
"Mont-Laurier, Quebec [2479088]",Mont-Laurier, Quebec ,2479088
"Montmagny, Quebec [2418050]",Montmagny, Quebec ,2418050
"Montréal, Quebec [2466023]",Montréal, Quebec ,2466023
"Nicolet, Quebec [2450072]",Nicolet, Quebec ,2450072
"Ormstown, Quebec [2469037]",Ormstown, Quebec ,2469037
"Pabos, Quebec",Pabos,#VALUE!,#VALUE!
"Pointe-à-la-Croix, Quebec",Pointe-à-la-Croix,#VALUE!,#VALUE!
"Pontiac, Quebec [2482030]",Pontiac, Quebec ,2482030
"Quebec City, Quebec [2423027]",Quebec City, Quebec ,2423027
"Rawdon, Quebec [2462037]",Rawdon, Quebec ,2462037
"Repentigny, Quebec [2460013]",Repentigny, Quebec ,2460013
"Rimouski, Quebec [2410043]",Rimouski, Quebec ,2410043
"Rivière-du-Loup, Quebec [2412072]",Rivière-du-Loup, Quebec ,2412072
"Roberval, Quebec [2491025]",Roberval, Quebec ,2491025
"Rouyn-Noranda, Quebec [2486042]",Rouyn-Noranda, Quebec ,2486042
"Roxton Falls, Quebec [2448010]",Roxton Falls, Quebec ,2448010
"Saguenay, Quebec [2494068]",Saguenay, Quebec ,2494068
"Sainte-Adèle, Quebec [2477022]",Sainte-Adèle, Quebec ,2477022
"Sainte-Julie, Quebec [2459010]",Sainte-Julie, Quebec ,2459010
"Saint-Eugènes-de-Guigues, Quebec",Saint-Eugènes-de-Guigues,#VALUE!,#VALUE!
"Saint-Eustache, Quebec [2472005]",Saint-Eustache, Quebec ,2472005
"Saint-Jérôme, Quebec [2475017]",Saint-Jérôme, Quebec ,2475017
"Saint-Stanislas, Quebec [2492070]",Saint-Stanislas, Quebec ,2492070
"Salaberry-de-Valleyfield, Quebec [2470052]",Salaberry-de-Valleyfield, Quebec ,2470052
"Sept-Îles, Quebec [2497007]",Sept-Îles, Quebec ,2497007
"Shawinigan, Quebec [2436033]",Shawinigan, Quebec ,2436033
"Shefferville, Quebec",Shefferville,#VALUE!,#VALUE!
"Sherbrooke, Quebec",Sherbrooke,#VALUE!,#VALUE!
"Sorel, Quebec",Sorel,#VALUE!,#VALUE!
"St. Hyacinthe, Quebec",St. Hyacinthe,#VALUE!,#VALUE!
"St-Augustin-de-Desmaures, Quebec",St-Augustin-de-Desmaures,#VALUE!,#VALUE!
"Ste-Agathe-Des-Monts, Quebec",Ste-Agathe-Des-Monts,#VALUE!,#VALUE!
"Ste-Anne-Des-Monts, Quebec",Ste-Anne-Des-Monts,#VALUE!,#VALUE!
"Ste-Therese, Quebec",Ste-Therese,#VALUE!,#VALUE!
"St-Georges, Quebec",St-Georges,#VALUE!,#VALUE!
"St-Georges-de-Beauce, Quebec",St-Georges-de-Beauce,#VALUE!,#VALUE!
"St-Jean-sur-Richelieu, Quebec",St-Jean-sur-Richelieu,#VALUE!,#VALUE!
"St-Raymond, Quebec",St-Raymond,#VALUE!,#VALUE!
"Terrebonne, Quebec [2464008]",Terrebonne, Quebec ,2464008
"Thetford Mines, Quebec [2431084]",Thetford Mines, Quebec ,2431084
"Trois-Rivières, Quebec [2437067]",Trois-Rivières, Quebec ,2437067
"Val D'or, Quebec",Val D'or,#VALUE!,#VALUE!
"Valleyfield, Quebec",Valleyfield,#VALUE!,#VALUE!
"Vaudreuil-Dorion, Quebec [2471083]",Vaudreuil-Dorion, Quebec ,2471083
"Victoriaville, Quebec [2439062]",Victoriaville, Quebec ,2439062
"Ville-Marie, Quebec [2485025]",Ville-Marie, Quebec ,2485025
"Weedon, Quebec [2441098]",Weedon, Quebec ,2441098
"Alliston, Ontario",Alliston,#VALUE!,#VALUE!
"Atikokan, Ontario [3559001]",Atikokan, Ontario ,3559001
"Aurora, Ontario [3519046]",Aurora, Ontario ,3519046
"Barrie, Ontario [3543042]",Barrie, Ontario ,3543042
"Bear Island, Ontario",Bear Island,#VALUE!,#VALUE!
