DGUID,HPL,Province,Census_Tract,Unemployment_rate,Low_income,pop,Shelter,occupants
2050003,Central,Nova Scotia,3,8.6,20,2955,n/a,0
2050005,Central,Nova Scotia,5,11.3,8.3,1808,Phoenix Youth Shelter,13
2050004.02,Central,Nova Scotia,4.02,15.3,41.5,4771,n/a,0
2050004.01,Central,Nova Scotia,4.01,12,36.4,3466,n/a,0
2050006,Central,Nova Scotia,6,9.4,18.2,3129,n/a,0
2050007,Central,Nova Scotia,7,16.1,23.5,1859,Salvation Army,35
2050008,Central,Nova Scotia,8,8.1,35.6,2778,Central Library,9
2050013,Central,Nova Scotia,13,7.7,9.6,2561,n/a,0
2050012,Central,Nova Scotia,12,10.6,13.6,2482,n/a,0
2050009,Central,Nova Scotia,9,6,22.2,2357,Metro Turning Point,44
2050018,Halifax North Memorial Public Library ,Nova Scotia,18,8.3,17.8,3544,n/a,0
2050011,Halifax North Memorial Public Library ,Nova Scotia,11,7.2,20.9,5631,Mainline,3
2050010,Halifax North Memorial Public Library ,Nova Scotia,10,11.7,36.7,5036,Adsum House,14
2050019,Halifax North Memorial Public Library ,Nova Scotia,19,5.5,13,5062,n/a,0
2050023,Halifax North Memorial Public Library ,Nova Scotia,23,9.5,38.3,4594,Bryony House,4
2050022,Halifax North Memorial Public Library ,Nova Scotia,22,5.9,14.4,5301,n/a,0
2050021,Halifax North Memorial Public Library ,Nova Scotia,21,9.5,25.4,3314,n/a,0
2050020,Halifax North Memorial Public Library ,Nova Scotia,20,7.5,17.8,2562,Barry House,11
2050016,Captain William Spry Public Library,Nova Scotia,16,7.1,15.5,3766,n/a,0
2050015,Captain William Spry Public Library,Nova Scotia,15,10.7,29.7,4829,n/a,0
2050014,Captain William Spry Public Library,Nova Scotia,14,6,11.9,4248,n/a,0
2050002,Captain William Spry Public Library,Nova Scotia,2,9.1,22.3,6194,n/a,0
2050120,Captain William Spry Public Library,Nova Scotia,120,5.9,7.6,2196,n/a,0
2050140,Captain William Spry Public Library,Nova Scotia,140,6.8,9,6430,n/a,0
2050001,Captain William Spry Public Library,Nova Scotia,1,8.8,26.9,3868,n/a,0
2050141,Captain William Spry Public Library,Nova Scotia,141,5.6,8.6,6769,n/a,0
